"id","province_id","name","created_at","updated_at"
"1309","13","KABUPATEN PASAMAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1310","13","KABUPATEN SOLOK SELATAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1311","13","KABUPATEN DHARMASRAYA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1312","13","KABUPATEN PASAMAN BARAT","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1371","13","KOTA PADANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1372","13","KOTA SOLOK","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1373","13","KOTA SAWAH LUNTO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1374","13","KOTA PADANG PANJANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1375","13","KOTA BUKITTINGGI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1376","13","KOTA PAYAKUMBUH","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1377","13","KOTA PARIAMAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1401","14","KABUPATEN KUANTAN SINGINGI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1402","14","KABUPATEN INDRAGIRI HULU","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1403","14","KABUPATEN INDRAGIRI HILIR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1404","14","KABUPATEN PELALAWAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1405","14","KABUPATEN S I A K","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1406","14","KABUPATEN KAMPAR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1407","14","KABUPATEN ROKAN HULU","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1408","14","KABUPATEN BENGKALIS","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1409","14","KABUPATEN ROKAN HILIR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1410","14","KABUPATEN KEPULAUAN MERANTI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1471","14","KOTA PEKANBARU","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1473","14","KOTA D U M A I","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1501","15","KABUPATEN KERINCI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1502","15","KABUPATEN MERANGIN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1503","15","KABUPATEN SAROLANGUN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1504","15","KABUPATEN BATANG HARI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1505","15","KABUPATEN MUARO JAMBI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1506","15","KABUPATEN TANJUNG JABUNG TIMUR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1507","15","KABUPATEN TANJUNG JABUNG BARAT","10/7/2019 11:48:42","10/7/2019 11:48:50"
